GEOID,total,over_200,percent
53053070308,1237,13,1.05092966855295
53053070309,1977,80,4.04653515427415
53053070310,1697,48,2.8285209192693
53053070311,1613,37,2.2938623682579
53053070312,1531,173,11.2998040496408
53053070313,2076,64,3.08285163776493
53053070314,1017,69,6.78466076696165
53053070315,1555,74,4.7588424437299
53053070316,2180,82,3.76146788990826
53053070401,792,0,0
53053070403,1342,0,0
53053070404,1440,48,3.33333333333333
53053070703,2538,56,2.20646178092987
53053071100,1018,35,3.43811394891945
53053071205,1810,58,3.20441988950276
53053071206,2620,47,1.79389312977099
53053071207,2435,63,2.58726899383984
53053071208,2954,16,0.541638456330399
53053071209,1465,21,1.43344709897611
53053071210,1514,194,12.8137384412153
53053071304,2466,90,3.64963503649635
53053071305,1381,20,1.44822592324403
53053071306,2435,54,2.217659137577
53053071307,1680,18,1.07142857142857
53053071309,1449,51,3.51966873706004
53053071310,1634,56,3.42717258261934
53053071403,1516,0,0
53053071406,2201,19,0.863243980009087
53053071407,1989,24,1.20663650075415
53053071408,1374,12,0.873362445414847
53053071409,1536,0,0
53053071410,2079,48,2.30880230880231
53053071411,1539,0,0
53053071503,2241,65,2.90049085229808
53053071504,1538,12,0.780234070221066
53053071505,2111,18,0.852676456655613
53053071506,1733,0,0
53053071601,1744,0,0
53053071602,2768,0,0
53053071703,1615,0,0
53053071704,1621,0,0
53053071705,1333,0,0
53053071706,725,14,1.93103448275862
53053071707,1035,0,0
53053071803,2556,55,2.15179968701095
53053071805,1347,1,0.0742390497401633
53053071806,1912,22,1.15062761506276
53053071807,1544,0,0
53053071808,1545,14,0.906148867313916
53053071901,2090,50,2.39234449760766
53053071902,2176,271,12.4540441176471
53053072000,2013,70,3.47739692001987
53053072105,1799,73,4.05780989438577
53053072106,2943,44,1.49507305470608
53053072107,1698,41,2.41460541813899
53053072108,2193,73,3.32877336981304
53053072109,1442,128,8.87656033287101
53053072111,917,63,6.87022900763359
53053072112,1872,19,1.01495726495726
53053072305,2375,45,1.89473684210526
53053072307,1913,97,5.07056978567695
53053072308,2826,237,8.3864118895966
53053072309,2387,85,3.5609551738584
53053072310,1547,52,3.36134453781513
53053072311,1969,30,1.52361604875571
53053072312,2290,30,1.31004366812227
53053072313,1397,89,6.37079455977094
53053072405,1556,219,14.0745501285347
53053072406,2183,221,10.1236830050389
53053072407,1899,174,9.16271721958926
53053072408,2148,246,11.4525139664804
53053072409,889,73,8.21147356580427
53053072410,1260,221,17.5396825396825
53053072503,1607,43,2.67579340385812
53053072504,1415,200,14.1342756183746
53053072505,2591,303,11.6943265148591
53053072506,1382,94,6.80173661360347
53053072507,1407,174,12.3667377398721
53053072601,1862,79,4.24274973147154
53053072602,1480,43,2.90540540540541
53053072603,1978,61,3.08392315470172
53053072800,3033,75,2.47279920870425
53053072901,695,10,1.43884892086331
53053072903,484,8,1.65289256198347
53053072905,1592,28,1.75879396984925
53053072906,28,0,0
53053072907,1238,0,0
53053073001,2042,42,2.05680705190989
53053073005,2005,23,1.14713216957606
53053073006,1089,18,1.65289256198347
53053073108,2272,24,1.05633802816901
53053073110,1359,72,5.29801324503311
53053073111,1491,59,3.9570757880617
53053073113,2095,109,5.20286396181384
53053073114,1759,8,0.45480386583286
53053073115,1513,12,0.793126239259749
53053073116,1201,73,6.07826810990841
53053073117,1414,86,6.08203677510608
53053073118,1695,28,1.65191740412979
53053073119,1122,20,1.7825311942959
53053073120,1274,39,3.06122448979592
53053073121,1523,87,5.71240971766251
53053073122,1462,41,2.80437756497948
53053073123,1480,40,2.7027027027027
53053073124,1128,16,1.41843971631206
53053073125,3024,98,3.24074074074074
53053073126,1032,10,0.968992248062015
53053073200,2288,83,3.62762237762238
53053073301,2157,0,0
53053073302,1581,16,1.01201771030993
53053073404,2551,51,1.99921599372795
53053073405,1413,30,2.12314225053079
53053073406,2008,45,2.24103585657371
53053073407,1627,0,0
53053073408,1677,31,1.84853905784138
53053073500,2874,181,6.29784272790536
53053940001,1133,118,10.414827890556
53053940002,1399,49,3.50250178699071
53053940003,2709,60,2.21483942414175
53053940004,2536,86,3.39116719242902
53053940005,1927,64,3.32122470160872
53053940006,652,0,0
53053940007,969,21,2.1671826625387
53053940008,2368,134,5.65878378378378
53053940009,1147,48,4.1848299912816
53053940010,1897,10,0.527148128624143
53053940011,1564,228,14.5780051150895
